node1	node2	node1_string_id	node2_string_id	weight1	weight2
CCT7	STRAP	9606.ENSP00000258091	9606.ENSP00000392270	0.412	0.412
DDX24	ZC3HAV1	9606.ENSP00000481495	9606.ENSP00000242351	0.412	0.412
GLE1	NUP88	9606.ENSP00000308622	9606.ENSP00000458954	0.412	0.412
MCM4	SF3A1	9606.ENSP00000262105	9606.ENSP00000215793	0.412	0.412
RALY	RBMX	9606.ENSP00000246194	9606.ENSP00000359645	0.412	0.412
RPS3A	USP10	9606.ENSP00000346050	9606.ENSP00000457411	0.412	0.412
SND1	USP10	9606.ENSP00000346762	9606.ENSP00000457411	0.412	0.412
BYSL	CSNK1D	9606.ENSP00000230340	9606.ENSP00000381531	0.413	0.413
CTCF	ZC3HAV1	9606.ENSP00000494538	9606.ENSP00000242351	0.413	0.412
DDX17	SNRNP70	9606.ENSP00000380033	9606.ENSP00000472998	0.413	0.412
DHX9	HNRNPR	9606.ENSP00000356520	9606.ENSP00000363745	0.413	0.412
EXOSC4	UTP18	9606.ENSP00000315476	9606.ENSP00000225298	0.413	0.413
EXOSC8	UTP14A	9606.ENSP00000374354	9606.ENSP00000377944	0.413	0.413
MYBBP1A	RSL1D1	9606.ENSP00000370968	9606.ENSP00000460871	0.413	0.412
RPL4	WDR3	9606.ENSP00000311430	9606.ENSP00000308179	0.413	0.413
U2AF2	U2SURP	9606.ENSP00000307863	9606.ENSP00000418563	0.413	0.412
DDX41	SNRNP70	9606.ENSP00000330349	9606.ENSP00000472998	0.414	0.414
IPO5	IPO7	9606.ENSP00000261574	9606.ENSP00000369042	0.414	0.414
NOL6	RPL4	9606.ENSP00000297990	9606.ENSP00000311430	0.414	0.414
SFPQ	SNRNP70	9606.ENSP00000349748	9606.ENSP00000472998	0.414	0.414
BRD4	RPL6	9606.ENSP00000263377	9606.ENSP00000403172	0.415	0.414
BUB3	CCT5	9606.ENSP00000357858	9606.ENSP00000280326	0.415	0.414
CTCF	DHX9	9606.ENSP00000494538	9606.ENSP00000356520	0.415	0.414
DCAF13	IFI16	9606.ENSP00000297579	9606.ENSP00000357113	0.415	0.414
EBNA1BP2	NOP58	9606.ENSP00000407323	9606.ENSP00000264279	0.415	0.415
NGDN	RPL4	9606.ENSP00000386134	9606.ENSP00000311430	0.415	0.415
SEPHS1	WDR12	9606.ENSP00000367893	9606.ENSP00000261015	0.415	0.414
EXOSC4	NOL6	9606.ENSP00000315476	9606.ENSP00000297990	0.416	0.416
NOP58	POLR1E	9606.ENSP00000264279	9606.ENSP00000367029	0.416	0.416
PRP4K	SRSF1	9606.ENSP00000337194	9606.ENSP00000258962	0.416	0.416
PRPF8	TOP1	9606.ENSP00000460348	9606.ENSP00000354522	0.416	0.416
DDX51	RRP8	9606.ENSP00000380495	9606.ENSP00000254605	0.417	0.416
EPRS	RPS16	9606.ENSP00000355890	9606.ENSP00000367806	0.417	0.417
MPHOSPH10	RPL7A	9606.ENSP00000244230	9606.ENSP00000361076	0.417	0.417
RPF2	RPL35	9606.ENSP00000402338	9606.ENSP00000259469	0.417	0.417
DDX24	REXO4	9606.ENSP00000481495	9606.ENSP00000361010	0.418	0.418
HP1BP3	IPO7	9606.ENSP00000403039	9606.ENSP00000369042	0.418	0.418
ILF3	NOC3L	9606.ENSP00000404121	9606.ENSP00000360412	0.418	0.418
NVL	RBM34	9606.ENSP00000281701	9606.ENSP00000386226	0.418	0.418
PPP1CB	RIF1	9606.ENSP00000378769	9606.ENSP00000243326	0.418	0.418
ABCE1	PELO	9606.ENSP00000296577	9606.ENSP00000274311	0.419	0.418
G3BP1	ZC3HAV1	9606.ENSP00000377681	9606.ENSP00000242351	0.419	0.418
HNRNPA2B1	HNRNPA3	9606.ENSP00000346694	9606.ENSP00000376309	0.419	0.418
NVL	ZNF512	9606.ENSP00000281701	9606.ENSP00000347648	0.419	0.418
PELO	SMARCA4	9606.ENSP00000274311	9606.ENSP00000343896	0.419	0.418
RPS3A	RRS1	9606.ENSP00000346050	9606.ENSP00000322396	0.419	0.418
AAAS	NUP153	9606.ENSP00000209873	9606.ENSP00000444029	0.42	0.42
ACTN1	ANLN	9606.ENSP00000377941	9606.ENSP00000265748	0.42	0.42
ACTR2	ANLN	9606.ENSP00000367220	9606.ENSP00000265748	0.42	0.42
ANLN	PPP1CA	9606.ENSP00000265748	9606.ENSP00000326031	0.42	0.42
ARID1A	EWSR1	9606.ENSP00000320485	9606.ENSP00000400142	0.42	0.42
COIL	PRPF3	9606.ENSP00000240316	9606.ENSP00000315379	0.42	0.42
CSTF2T	XPO1	9606.ENSP00000332444	9606.ENSP00000384863	0.42	0.42
CTBP2	GATAD2B	9606.ENSP00000311825	9606.ENSP00000357644	0.42	0.42
DDRGK1	EMD	9606.ENSP00000346483	9606.ENSP00000358857	0.42	0.42
DDX18	TBL3	9606.ENSP00000263239	9606.ENSP00000454836	0.42	0.42
DDX24	RPF2	9606.ENSP00000481495	9606.ENSP00000402338	0.42	0.42
DDX3X	RPS3	9606.ENSP00000494040	9606.ENSP00000278572	0.42	0.42
DDX50	DDX54	9606.ENSP00000362687	9606.ENSP00000323858	0.42	0.42
DDX50	ZNF638	9606.ENSP00000362687	9606.ENSP00000386433	0.42	0.42
DDX51	ZNF512	9606.ENSP00000380495	9606.ENSP00000347648	0.42	0.42
DDX51	RBM34	9606.ENSP00000380495	9606.ENSP00000386226	0.42	0.42
EFTUD2	RPS17	9606.ENSP00000392094	9606.ENSP00000498019	0.42	0.42
ELAVL1	PCBP2	9606.ENSP00000385269	9606.ENSP00000352438	0.42	0.42
ELAVL1	PTBP3	9606.ENSP00000385269	9606.ENSP00000414921	0.42	0.42
EWSR1	SMARCC1	9606.ENSP00000400142	9606.ENSP00000254480	0.42	0.42
EWSR1	HNRNPD	9606.ENSP00000400142	9606.ENSP00000313199	0.42	0.42
EWSR1	SMARCC2	9606.ENSP00000400142	9606.ENSP00000449396	0.42	0.42
G3BP1	RPS11	9606.ENSP00000377681	9606.ENSP00000270625	0.42	0.42
G3BP1	NUP214	9606.ENSP00000377681	9606.ENSP00000352400	0.42	0.42
G3BP1	NUP62	9606.ENSP00000377681	9606.ENSP00000471191	0.42	0.42
G3BP2	WDR36	9606.ENSP00000352738	9606.ENSP00000423067	0.42	0.42
GTF3C2	ZNF579	9606.ENSP00000352536	9606.ENSP00000320188	0.42	0.42
MCM5	SF3A1	9606.ENSP00000216122	9606.ENSP00000215793	0.42	0.42
MYO1B	PPP1CC	9606.ENSP00000376132	9606.ENSP00000341779	0.42	0.42
NELFCD	SRSF1	9606.ENSP00000473290	9606.ENSP00000258962	0.42	0.42
NIFK	POP1	9606.ENSP00000285814	9606.ENSP00000385787	0.42	0.42
NOP53	UTP3	9606.ENSP00000246802	9606.ENSP00000254803	0.42	0.42
NUP107	SMPD4	9606.ENSP00000229179	9606.ENSP00000386531	0.42	0.42
NUP107	TMEM209	9606.ENSP00000229179	9606.ENSP00000380747	0.42	0.42
NUP107	RGPD8	9606.ENSP00000229179	9606.ENSP00000306637	0.42	0.42
NUP107	UBE2I	9606.ENSP00000229179	9606.ENSP00000348056	0.42	0.42
NUP153	NUP210	9606.ENSP00000444029	9606.ENSP00000254508	0.42	0.42
